strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8426,15943.5276,6411.3639,134.19,34.995,13.509,274.288,36.94,1000
no_adaptation,10,1.0,0.834,16012.1529,6430.7185,134.136,35.107,13.499,274.385,36.796,1000
no_adaptation,10,2.0,0.8101,16160.2778,6666.6199,131.865,33.626,13.713,278.836,37.271,1000
no_adaptation,10,3.0,0.7849,16387.9023,6958.2982,131.697,33.891,13.944,285.509,37.653,1000
no_adaptation,10,4.0,0.755,16695.0265,7392.0703,130.101,33.536,14.564,300.357,38.145,1000
no_adaptation,10,6.0,0.6797,17547.7739,8343.1921,127.594,32.872,14.919,310.775,38.834,1000
no_adaptation,10,8.0,0.5843,18718.5199,9454.1849,124.482,32.546,15.795,333.663,39.301,1000
no_adaptation,10,10.0,0.4784,20207.2644,10734.7306,120.803,30.748,16.009,343.77,39.001,1000
no_adaptation,10,12.0,0.3804,22014.0076,12107.804,120.676,30.28,16.087,350.759,38.196,1000
no_adaptation,10,16.0,0.2526,26581.4898,15354.1489,117.199,29.796,16.323,366.123,36.861,1000
no_adaptation,20,0.0,0.9094,15943.5276,6411.3639,134.19,34.995,23.325,447.846,60.328,1000
no_adaptation,20,1.0,0.9048,16012.1529,6430.7185,134.136,35.107,23.289,447.694,60.265,1000
no_adaptation,20,2.0,0.8886,16160.2778,6666.6199,131.865,33.626,23.632,455.715,61.884,1000
no_adaptation,20,3.0,0.8724,16387.9023,6958.2982,131.697,33.891,24.068,467.549,63.674,1000
no_adaptation,20,4.0,0.8439,16695.0265,7392.0703,130.101,33.536,24.577,481.327,66.042,1000
no_adaptation,20,6.0,0.7853,17547.7739,8343.1921,127.594,32.872,25.769,511.902,69.284,1000
no_adaptation,20,8.0,0.6959,18718.5199,9454.1849,124.482,32.546,26.472,534.424,71.992,1000
no_adaptation,20,10.0,0.5944,20207.2644,10734.7306,120.803,30.748,27.441,567.018,73.197,1000
no_adaptation,20,12.0,0.4993,22014.0076,12107.804,120.676,30.28,27.59,580.895,72.933,1000
no_adaptation,20,16.0,0.3604,26581.4898,15354.1489,117.199,29.796,28.254,618.073,72.283,1000
no_adaptation,50,0.0,0.9617,15943.5276,6411.3639,134.19,34.995,52.654,913.688,111.957,1000
no_adaptation,50,1.0,0.9567,16012.1529,6430.7185,134.136,35.107,52.695,916.97,111.793,1000
no_adaptation,50,2.0,0.95,16160.2778,6666.6199,131.865,33.626,53.075,927.39,115.845,1000
no_adaptation,50,3.0,0.9414,16387.9023,6958.2982,131.697,33.891,53.807,946.074,120.779,1000
no_adaptation,50,4.0,0.9229,16695.0265,7392.0703,130.101,33.536,54.425,965.59,127.021,1000
no_adaptation,50,6.0,0.8832,17547.7739,8343.1921,127.594,32.872,55.901,1011.345,137.329,1000
no_adaptation,50,8.0,0.8159,18718.5199,9454.1849,124.482,32.546,57.461,1068.252,147.611,1000
no_adaptation,50,10.0,0.7359,20207.2644,10734.7306,120.803,30.748,58.593,1118.036,155.721,1000
no_adaptation,50,12.0,0.6526,22014.0076,12107.804,120.676,30.28,59.145,1162.396,159.537,1000
no_adaptation,50,16.0,0.5127,26581.4898,15354.1489,117.199,29.796,59.57,1236.196,163.005,1000
no_adaptation,100,0.0,0.9793,15943.5276,6411.3639,134.19,34.995,102.036,1610.269,182.286,1000
no_adaptation,100,1.0,0.9753,16012.1529,6430.7185,134.136,35.107,102.164,1617.154,183.02,1000
no_adaptation,100,2.0,0.971,16160.2778,6666.6199,131.865,33.626,102.682,1632.09,189.203,1000
no_adaptation,100,3.0,0.9676,16387.9023,6958.2982,131.697,33.891,103.542,1655.575,197.255,1000
no_adaptation,100,4.0,0.9544,16695.0265,7392.0703,130.101,33.536,104.245,1682.597,207.552,1000
no_adaptation,100,6.0,0.9356,17547.7739,8343.1921,127.594,32.872,106.493,1761.019,227.282,1000
no_adaptation,100,8.0,0.8784,18718.5199,9454.1849,124.482,32.546,108.03,1845.035,247.371,1000
no_adaptation,100,10.0,0.8194,20207.2644,10734.7306,120.803,30.748,109.281,1923.911,264.305,1000
no_adaptation,100,12.0,0.7442,22014.0076,12107.804,120.676,30.28,109.964,2015.778,275.823,1000
no_adaptation,100,16.0,0.6232,26581.4898,15354.1489,117.199,29.796,108.906,2137.138,287.554,1000
no_adaptation,200,0.0,0.9892,15943.5276,6411.3639,134.19,34.995,201.601,2854.941,307.171,1000
no_adaptation,200,1.0,0.9886,16012.1529,6430.7185,134.136,35.107,202.058,2867.459,309.92,1000
no_adaptation,200,2.0,0.9845,16160.2778,6666.6199,131.865,33.626,202.357,2889.366,318.487,1000
no_adaptation,200,3.0,0.9825,16387.9023,6958.2982,131.697,33.891,203.232,2921.397,329.525,1000
no_adaptation,200,4.0,0.976,16695.0265,7392.0703,130.101,33.536,204.721,2976.0,346.199,1000
no_adaptation,200,6.0,0.9592,17547.7739,8343.1921,127.594,32.872,206.854,3084.386,377.184,1000
no_adaptation,200,8.0,0.9166,18718.5199,9454.1849,124.482,32.546,208.795,3239.34,412.639,1000
no_adaptation,200,10.0,0.8702,20207.2644,10734.7306,120.803,30.748,209.602,3372.876,441.941,1000
no_adaptation,200,12.0,0.8112,22014.0076,12107.804,120.676,30.28,210.04,3538.331,468.395,1000
no_adaptation,200,16.0,0.7208,26581.4898,15354.1489,117.199,29.796,209.731,3836.592,499.659,1000
no_adaptation,500,0.0,0.9969,15943.5276,6411.3639,134.19,34.995,501.207,6072.587,630.35,1000
no_adaptation,500,1.0,0.9961,16012.1529,6430.7185,134.136,35.107,501.666,6096.185,636.949,1000
no_adaptation,500,2.0,0.995,16160.2778,6666.6199,131.865,33.626,502.695,6144.725,650.071,1000
no_adaptation,500,3.0,0.9942,16387.9023,6958.2982,131.697,33.891,504.188,6211.935,669.002,1000
no_adaptation,500,4.0,0.9888,16695.0265,7392.0703,130.101,33.536,505.986,6311.637,696.632,1000
no_adaptation,500,6.0,0.9787,17547.7739,8343.1921,127.594,32.872,508.839,6533.624,752.778,1000
no_adaptation,500,8.0,0.9538,18718.5199,9454.1849,124.482,32.546,513.487,6890.746,824.58,1000
