update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 7921.37 > 7911.04,15,15,5,7921.374201660156,7911.044543701171,10
2,bl_entry 8059.28 > 7911.04,6,21,7,8059.283677368164,7911.044543701171,10
3,bl_entry 7927.67 > 7911.04,6,27,9,7927.669498291016,7911.044543701171,10
4,bl_entry 7945.35 > 7911.04,4,31,12,7945.347025146484,7911.044543701171,10
5,bl_entry 7924.26 > 7911.04,17,48,13,7924.258528442383,7911.044543701171,10
6,bl_entry 8102.63 > 7911.04,1,49,14,8102.626773071289,7911.044543701171,10
7,bl_entry 7981.72 > 7911.04,3,52,14,7981.722846679688,7911.044543701171,10
8,bl_entry 8035.44 > 7911.04,1,53,16,8035.43717956543,7911.044543701171,10
9,bl_entry 7920.86 > 7911.04,8,61,17,7920.864458007813,7911.044543701171,10
10,bl_entry 7943.96 > 7911.04,8,69,19,7943.961802978516,7911.044543701171,10
11,bl_entry 8195.37 > 7911.04,0,69,20,8195.367410888672,7911.044543701171,10
12,bl_entry 8704.76 > 7911.04,2,71,20,8704.764967041016,7911.044543701171,10
13,bl_entry 8955.21 > 7911.04,2,73,20,8955.2144140625,7911.044543701171,10
14,bl_entry 8973.60 > 7911.04,2,75,20,8973.595250244141,7911.044543701171,10
15,bl_entry 8998.48 > 7911.04,1,76,20,8998.479516601563,7911.044543701171,10
16,bl_entry 8858.28 > 7911.04,4,80,20,8858.27546875,7911.044543701171,10
17,bl_entry 8629.66 > 7911.04,3,83,20,8629.660302734375,7911.044543701171,10
18,bl_entry 8598.83 > 7911.04,1,84,20,8598.83234375,7911.044543701171,10
19,bl_entry 8558.76 > 7911.04,1,85,20,8558.760364990234,7911.044543701171,10
20,bl_entry 8747.06 > 7911.04,0,85,20,8747.064471435548,7911.044543701171,10
21,bl_entry 9125.90 > 7911.04,1,86,20,9125.899300537109,7911.044543701171,10
22,bl_entry 9271.36 > 7911.04,3,89,20,9271.35728515625,7911.044543701171,10
23,bl_entry 9096.92 > 7911.04,0,89,20,9096.915842285156,7911.044543701171,10
24,bl_entry 9042.32 > 7911.04,2,91,20,9042.323688964843,7911.044543701171,10
25,bl_entry 8870.12 > 7911.04,3,94,20,8870.116804199219,7911.044543701171,10
26,bl_entry 8890.00 > 7911.04,2,96,20,8890.003117675782,7911.044543701171,10
27,bl_entry 9076.77 > 7911.04,0,96,20,9076.7715234375,7911.044543701171,10
28,bl_entry 8854.16 > 7911.04,1,97,20,8854.158125,7911.044543701171,10
29,bl_entry 8806.85 > 7911.04,1,98,20,8806.848837890626,7911.044543701171,10
30,bl_entry 8864.98 > 7911.04,0,98,20,8864.978984375,7911.044543701171,10
31,bl_entry 9245.23 > 7911.04,1,99,20,9245.233579101563,7911.044543701171,10
32,bl_entry 9733.75 > 7911.04,2,101,20,9733.745649414062,7911.044543701171,10
33,bl_entry 10038.80 > 7911.04,1,102,20,10038.800361328125,7911.044543701171,10
34,bl_entry 10221.92 > 7911.04,2,104,20,10221.91933959961,7911.044543701171,10
35,bl_entry 10127.82 > 7911.04,0,104,20,10127.817115478516,7911.044543701171,10
36,bl_entry 10045.60 > 7911.04,3,107,20,10045.597945556641,7911.044543701171,10
37,bl_entry 9983.17 > 7911.04,0,107,20,9983.173697509766,7911.044543701171,10
38,bl_entry 9824.08 > 7911.04,4,111,20,9824.07794555664,7911.044543701171,10
39,bl_entry 9813.07 > 7911.04,0,111,20,9813.07413696289,7911.044543701171,10
40,bl_entry 9944.22 > 7911.04,1,112,20,9944.220037841797,7911.044543701171,10
41,bl_entry 10147.61 > 7911.04,0,112,20,10147.614949951172,7911.044543701171,10
42,bl_entry 10358.41 > 7911.04,0,112,20,10358.405893554687,7911.044543701171,10
43,bl_entry 10164.17 > 7911.04,2,114,20,10164.16681640625,7911.044543701171,10
44,bl_entry 10117.51 > 7911.04,0,114,20,10117.508935546875,7911.044543701171,10
45,bl_entry 10003.55 > 7911.04,1,115,20,10003.554375,7911.044543701171,10
46,bl_entry 10004.64 > 7911.04,0,115,20,10004.636794433594,7911.044543701171,10
47,bl_entry 10179.05 > 7911.04,2,117,20,10179.046762695312,7911.044543701171,10
48,bl_entry 9940.63 > 7911.04,1,118,20,9940.627543945313,7911.044543701171,10
49,bl_entry 9879.09 > 7911.04,1,119,20,9879.090153808595,7911.044543701171,10
50,bl_entry 9899.02 > 7911.04,0,119,20,9899.023176269531,7911.044543701171,10
51,bl_entry 10359.29 > 7911.04,0,119,20,10359.292678222657,7911.044543701171,10
52,bl_entry 10792.08 > 7911.04,0,119,20,10792.084963378906,7911.044543701171,10
53,bl_entry 11195.86 > 7911.04,1,120,20,11195.861010742188,7911.044543701171,10
54,bl_entry 11406.84 > 7911.04,1,121,20,11406.842817382812,7911.044543701171,10
55,bl_entry 11327.97 > 7911.04,1,122,20,11327.970693359375,7911.044543701171,10
56,bl_entry 11353.65 > 7911.04,1,123,20,11353.651293945313,7911.044543701171,10
57,bl_entry 11244.17 > 7911.04,1,124,20,11244.172041015625,7911.044543701171,10
