strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8284,16356.7424,6332.1971,132.75,35.018,13.41,271.644,36.79,1000
no_adaptation,10,1.0,0.8319,16359.5365,6432.3528,132.747,35.917,13.604,275.795,37.155,1000
no_adaptation,10,2.0,0.8228,16441.8302,6634.2022,132.999,35.998,13.835,281.61,37.716,1000
no_adaptation,10,3.0,0.801,16603.6236,7002.6101,132.225,35.232,14.196,291.205,38.735,1000
no_adaptation,10,4.0,0.7675,16844.9166,7334.7616,131.418,34.947,14.373,296.148,38.495,1000
no_adaptation,10,6.0,0.6948,17566.0015,8117.8453,131.3,36.177,14.756,307.121,38.708,1000
no_adaptation,10,8.0,0.6121,18605.0852,9210.227,129.808,34.806,15.143,319.537,38.213,1000
no_adaptation,10,10.0,0.5123,19962.1674,10437.5836,128.605,33.494,15.565,333.756,38.029,1000
no_adaptation,10,12.0,0.4263,21637.2482,11930.3639,127.827,32.544,16.072,348.537,37.894,1000
no_adaptation,10,16.0,0.2851,25941.4057,15273.1465,127.899,30.436,16.122,360.836,37.113,1000
no_adaptation,20,0.0,0.8987,16356.7424,6332.1971,132.75,35.018,23.287,446.138,59.889,1000
no_adaptation,20,1.0,0.9028,16359.5365,6432.3528,132.747,35.917,23.383,447.722,61.201,1000
no_adaptation,20,2.0,0.8962,16441.8302,6634.2022,132.999,35.998,23.704,456.86,63.334,1000
no_adaptation,20,3.0,0.8833,16603.6236,7002.6101,132.225,35.232,24.144,468.167,65.392,1000
no_adaptation,20,4.0,0.8587,16844.9166,7334.7616,131.418,34.947,24.535,478.574,66.898,1000
no_adaptation,20,6.0,0.8027,17566.0015,8117.8453,131.3,36.177,25.261,500.569,68.557,1000
no_adaptation,20,8.0,0.7257,18605.0852,9210.227,129.808,34.806,25.749,518.046,69.511,1000
no_adaptation,20,10.0,0.6242,19962.1674,10437.5836,128.605,33.494,26.491,543.133,70.806,1000
no_adaptation,20,12.0,0.5345,21637.2482,11930.3639,127.827,32.544,27.057,565.915,71.801,1000
no_adaptation,20,16.0,0.3912,25941.4057,15273.1465,127.899,30.436,27.367,594.882,72.023,1000
no_adaptation,50,0.0,0.9577,16356.7424,6332.1971,132.75,35.018,52.875,916.972,111.523,1000
no_adaptation,50,1.0,0.9581,16359.5365,6432.3528,132.747,35.917,52.808,917.374,112.843,1000
no_adaptation,50,2.0,0.9526,16441.8302,6634.2022,132.999,35.998,53.01,923.962,117.095,1000
no_adaptation,50,3.0,0.9429,16603.6236,7002.6101,132.225,35.232,53.453,937.194,121.985,1000
no_adaptation,50,4.0,0.9332,16844.9166,7334.7616,131.418,34.947,54.11,956.036,127.269,1000
no_adaptation,50,6.0,0.8996,17566.0015,8117.8453,131.3,36.177,54.938,988.715,134.87,1000
no_adaptation,50,8.0,0.8325,18605.0852,9210.227,129.808,34.806,55.933,1031.114,141.521,1000
no_adaptation,50,10.0,0.7532,19962.1674,10437.5836,128.605,33.494,57.069,1081.746,148.092,1000
no_adaptation,50,12.0,0.674,21637.2482,11930.3639,127.827,32.544,58.178,1134.72,153.863,1000
no_adaptation,50,16.0,0.5487,25941.4057,15273.1465,127.899,30.436,58.882,1210.409,159.809,1000
no_adaptation,100,0.0,0.9792,16356.7424,6332.1971,132.75,35.018,102.401,1615.33,182.18,1000
no_adaptation,100,1.0,0.978,16359.5365,6432.3528,132.747,35.917,102.351,1616.693,184.046,1000
no_adaptation,100,2.0,0.9728,16441.8302,6634.2022,132.999,35.998,102.565,1627.929,189.235,1000
no_adaptation,100,3.0,0.9688,16603.6236,7002.6101,132.225,35.232,103.168,1644.521,197.263,1000
no_adaptation,100,4.0,0.9641,16844.9166,7334.7616,131.418,34.947,103.843,1668.485,205.69,1000
no_adaptation,100,6.0,0.939,17566.0015,8117.8453,131.3,36.177,104.695,1720.473,220.159,1000
no_adaptation,100,8.0,0.8937,18605.0852,9210.227,129.808,34.806,106.288,1797.051,236.033,1000
no_adaptation,100,10.0,0.8336,19962.1674,10437.5836,128.605,33.494,107.734,1882.351,250.512,1000
no_adaptation,100,12.0,0.7604,21637.2482,11930.3639,127.827,32.544,108.262,1964.953,264.11,1000
no_adaptation,100,16.0,0.6525,25941.4057,15273.1465,127.899,30.436,107.869,2093.2,280.877,1000
no_adaptation,200,0.0,0.9893,16356.7424,6332.1971,132.75,35.018,201.9,2859.423,307.757,1000
no_adaptation,200,1.0,0.9888,16359.5365,6432.3528,132.747,35.917,201.902,2863.707,309.294,1000
no_adaptation,200,2.0,0.9869,16441.8302,6634.2022,132.999,35.998,202.317,2885.181,316.602,1000
no_adaptation,200,3.0,0.9846,16603.6236,7002.6101,132.225,35.232,203.021,2913.282,327.608,1000
no_adaptation,200,4.0,0.9829,16844.9166,7334.7616,131.418,34.947,203.631,2945.637,340.25,1000
no_adaptation,200,6.0,0.965,17566.0015,8117.8453,131.3,36.177,205.214,3040.675,364.103,1000
no_adaptation,200,8.0,0.9306,18605.0852,9210.227,129.808,34.806,206.934,3173.25,393.51,1000
no_adaptation,200,10.0,0.8873,19962.1674,10437.5836,128.605,33.494,208.585,3318.607,422.54,1000
no_adaptation,200,12.0,0.8269,21637.2482,11930.3639,127.827,32.544,208.624,3476.251,449.142,1000
no_adaptation,200,16.0,0.7444,25941.4057,15273.1465,127.899,30.436,208.297,3770.635,487.593,1000
no_adaptation,500,0.0,0.997,16356.7424,6332.1971,132.75,35.018,501.336,6075.456,632.451,1000
no_adaptation,500,1.0,0.9964,16359.5365,6432.3528,132.747,35.917,501.364,6091.232,634.367,1000
no_adaptation,500,2.0,0.9961,16441.8302,6634.2022,132.999,35.998,502.331,6133.613,646.867,1000
no_adaptation,500,3.0,0.9957,16603.6236,7002.6101,132.225,35.232,503.761,6196.417,663.576,1000
no_adaptation,500,4.0,0.9925,16844.9166,7334.7616,131.418,34.947,503.95,6259.737,681.929,1000
no_adaptation,500,6.0,0.9819,17566.0015,8117.8453,131.3,36.177,506.175,6465.779,726.947,1000
no_adaptation,500,8.0,0.9645,18605.0852,9210.227,129.808,34.806,510.863,6781.814,792.556,1000
no_adaptation,500,10.0,0.9285,19962.1674,10437.5836,128.605,33.494,510.936,7095.183,850.079,1000
no_adaptation,500,12.0,0.8887,21637.2482,11930.3639,127.827,32.544,511.536,7511.765,915.696,1000
no_adaptation,500,16.0,0.8241,25941.4057,15273.1465,127.899,30.436,507.511,8233.25,1008.801,1000
poolAndRewire,10,0.0,0.8284,16356.7424,6332.1971,132.75,35.018,13.41,271.644,36.79,1000
poolAndRewire,10,1.0,0.8319,16359.5365,6432.3528,132.747,35.917,13.604,275.795,37.155,1000
poolAndRewire,10,2.0,0.8228,16441.8302,6634.2022,132.999,35.998,13.835,281.61,37.716,1000
poolAndRewire,10,3.0,0.801,16603.6236,7002.6101,132.225,35.232,14.196,291.205,38.735,1000
poolAndRewire,10,4.0,0.7675,16844.9166,7334.7616,131.418,34.947,14.373,296.148,38.495,1000
poolAndRewire,10,6.0,0.7243,15748.63,7892.4754,126.922,36.899,14.339,298.15,36.762,1000
poolAndRewire,10,8.0,0.6549,15949.78,8917.208,117.589,34.073,14.869,313.722,35.744,1000
poolAndRewire,10,10.0,0.5527,16667.5399,10060.6038,110.479,31.361,14.956,321.563,34.511,1000
poolAndRewire,10,12.0,0.4874,17352.9205,11370.9789,102.87,28.231,15.069,326.426,33.804,1000
poolAndRewire,10,16.0,0.3493,20697.7185,14460.1526,97.066,25.299,14.687,330.26,31.187,1000
