update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 10006.27 > 9992.95,16,16,5,10006.267330322265,9992.945457458496,10
2,bl_entry 10386.61 > 9992.95,2,18,7,10386.606173095703,9992.945457458496,10
3,bl_entry 10609.62 > 9992.95,2,20,8,10609.618231201172,9992.945457458496,10
4,bl_entry 10389.67 > 9992.95,5,25,8,10389.674429931641,9992.945457458496,10
5,bl_entry 10331.95 > 9992.95,0,25,9,10331.945391845704,9992.945457458496,10
6,bl_entry 10472.30 > 9992.95,5,30,11,10472.30144165039,9992.945457458496,10
7,bl_entry 10282.35 > 9992.95,5,35,13,10282.35275756836,9992.945457458496,10
8,bl_entry 10353.65 > 9992.95,4,39,14,10353.649399414062,9992.945457458496,10
9,bl_entry 10427.80 > 9992.95,1,40,14,10427.801733398437,9992.945457458496,10
10,bl_entry 10485.33 > 9992.95,1,41,15,10485.333917236328,9992.945457458496,10
11,bl_entry 10581.02 > 9992.95,1,42,15,10581.021363525391,9992.945457458496,10
12,bl_entry 10469.62 > 9992.95,5,47,16,10469.616396484374,9992.945457458496,10
13,bl_entry 10437.53 > 9992.95,1,48,16,10437.529855957031,9992.945457458496,10
14,bl_entry 10256.32 > 9992.95,3,51,16,10256.320400390625,9992.945457458496,10
15,bl_entry 10199.83 > 9992.95,1,52,16,10199.83073486328,9992.945457458496,10
16,bl_entry 10235.22 > 9992.95,4,56,16,10235.224978027343,9992.945457458496,10
17,bl_entry 10013.27 > 9992.95,1,57,16,10013.268510742188,9992.945457458496,10
18,bl_entry 9996.73 > 9992.95,4,61,16,9996.729993896484,9992.945457458496,10
19,bl_entry 10447.87 > 9992.95,0,61,17,10447.872259521484,9992.945457458496,10
20,bl_entry 10925.97 > 9992.95,1,62,17,10925.968834228515,9992.945457458496,10
21,bl_entry 11307.49 > 9992.95,2,64,17,11307.493660888671,9992.945457458496,10
22,bl_entry 11542.13 > 9992.95,0,64,18,11542.131638183593,9992.945457458496,10
23,bl_entry 11384.13 > 9992.95,1,65,18,11384.127536621094,9992.945457458496,10
24,bl_entry 11401.79 > 9992.95,1,66,18,11401.7921484375,9992.945457458496,10
25,bl_entry 11499.82 > 9992.95,0,66,18,11499.817348632812,9992.945457458496,10
26,bl_entry 11373.53 > 9992.95,1,67,18,11373.530075683593,9992.945457458496,10
27,bl_entry 11362.39 > 9992.95,2,69,18,11362.386276855468,9992.945457458496,10
28,bl_entry 11420.26 > 9992.95,1,70,18,11420.263129882813,9992.945457458496,10
29,bl_entry 11510.78 > 9992.95,1,71,18,11510.78264892578,9992.945457458496,10
30,bl_entry 11543.70 > 9992.95,0,71,18,11543.698813476563,9992.945457458496,10
31,bl_entry 11493.56 > 9992.95,0,71,18,11493.562341308594,9992.945457458496,10
32,bl_entry 11513.40 > 9992.95,1,72,18,11513.40150390625,9992.945457458496,10
33,bl_entry 11405.05 > 9992.95,0,72,18,11405.049052734375,9992.945457458496,10
34,bl_entry 11425.00 > 9992.95,1,73,18,11424.999567871093,9992.945457458496,10
35,bl_entry 11475.20 > 9992.95,2,75,18,11475.196779785156,9992.945457458496,10
36,bl_entry 11225.56 > 9992.95,1,76,18,11225.56346435547,9992.945457458496,10
37,bl_entry 11041.18 > 9992.95,0,76,18,11041.179653320312,9992.945457458496,10
38,bl_entry 11244.89 > 9992.95,1,77,18,11244.89207763672,9992.945457458496,10
39,bl_entry 12032.84 > 9992.95,0,77,18,12032.835927734375,9992.945457458496,10
40,bl_entry 12782.27 > 9992.95,0,77,19,12782.2737109375,9992.945457458496,10
41,bl_entry 13567.60 > 9992.95,0,77,19,13567.597568359375,9992.945457458496,10
42,bl_entry 14112.73 > 9992.95,0,77,20,14112.7323828125,9992.945457458496,10
43,bl_entry 14013.38 > 9992.95,1,78,20,14013.3750390625,9992.945457458496,10
44,bl_entry 14137.32 > 9992.95,1,79,20,14137.317705078125,9992.945457458496,10
45,bl_entry 14214.84 > 9992.95,0,79,20,14214.842900390626,9992.945457458496,10
46,bl_entry 14147.01 > 9992.95,0,79,20,14147.006962890626,9992.945457458496,10
47,bl_entry 14109.16 > 9992.95,0,79,20,14109.158100585937,9992.945457458496,10
48,bl_entry 14155.51 > 9992.95,0,79,20,14155.508344726562,9992.945457458496,10
49,bl_entry 14254.10 > 9992.95,0,79,20,14254.102890625,9992.945457458496,10
50,bl_entry 14246.19 > 9992.95,0,79,20,14246.189936523437,9992.945457458496,10
51,bl_entry 14251.07 > 9992.95,0,79,20,14251.066396484375,9992.945457458496,10
52,bl_entry 14248.43 > 9992.95,0,79,20,14248.42787109375,9992.945457458496,10
53,bl_entry 14149.42 > 9992.95,0,79,20,14149.420859375,9992.945457458496,10
54,bl_entry 14222.34 > 9992.95,0,79,20,14222.335771484375,9992.945457458496,10
55,bl_entry 14249.85 > 9992.95,0,79,20,14249.846279296875,9992.945457458496,10
56,bl_entry 14093.25 > 9992.95,0,79,20,14093.247143554687,9992.945457458496,10
57,bl_entry 14051.04 > 9992.95,0,79,20,14051.041337890625,9992.945457458496,10
1,bl_entry 10006.27 > 9992.95,16,16,5,10006.267330322265,9992.945457458496,20
2,bl_entry 10386.61 > 9992.95,2,18,7,10386.606173095703,9992.945457458496,20
3,bl_entry 10609.62 > 9992.95,2,20,8,10609.618231201172,9992.945457458496,20
4,bl_entry 10389.67 > 9992.95,5,25,8,10389.674429931641,9992.945457458496,20
5,bl_entry 10331.95 > 9992.95,0,25,9,10331.945391845704,9992.945457458496,20
6,bl_entry 10472.30 > 9992.95,5,30,11,10472.30144165039,9992.945457458496,20
7,bl_entry 10282.35 > 9992.95,5,35,13,10282.35275756836,9992.945457458496,20
8,bl_entry 10353.65 > 9992.95,4,39,14,10353.649399414062,9992.945457458496,20
9,bl_entry 10427.80 > 9992.95,1,40,14,10427.801733398437,9992.945457458496,20
10,bl_entry 10485.33 > 9992.95,1,41,15,10485.333917236328,9992.945457458496,20
11,bl_entry 10581.02 > 9992.95,1,42,15,10581.021363525391,9992.945457458496,20
12,bl_entry 10469.62 > 9992.95,5,47,16,10469.616396484374,9992.945457458496,20
13,bl_entry 10437.53 > 9992.95,1,48,16,10437.529855957031,9992.945457458496,20
14,bl_entry 10256.32 > 9992.95,3,51,16,10256.320400390625,9992.945457458496,20
15,bl_entry 10199.83 > 9992.95,1,52,16,10199.83073486328,9992.945457458496,20
16,bl_entry 10235.22 > 9992.95,4,56,16,10235.224978027343,9992.945457458496,20
17,bl_entry 10013.27 > 9992.95,1,57,16,10013.268510742188,9992.945457458496,20
18,bl_entry 9996.73 > 9992.95,4,61,16,9996.729993896484,9992.945457458496,20
19,bl_entry 10447.87 > 9992.95,0,61,17,10447.872259521484,9992.945457458496,20
20,bl_entry 10925.97 > 9992.95,1,62,17,10925.968834228515,9992.945457458496,20
21,bl_entry 11307.49 > 9992.95,2,64,17,11307.493660888671,9992.945457458496,20
