strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8354,16053.1529,6293.5412,132.571,37.234,13.276,269.484,36.383,1000
no_adaptation,10,1.0,0.827,15938.3603,6404.982,132.121,37.183,13.442,273.599,36.585,1000
no_adaptation,10,2.0,0.8107,15903.0673,6627.1918,130.957,36.974,13.641,277.751,36.726,1000
no_adaptation,10,3.0,0.7984,15947.2739,6891.811,129.287,35.898,14.003,286.412,37.371,1000
no_adaptation,10,4.0,0.7679,16070.9803,7331.0889,126.916,34.991,14.461,297.829,38.664,1000
no_adaptation,10,6.0,0.6856,16556.8919,8290.5937,124.823,33.432,14.943,312.156,39.415,1000
no_adaptation,10,8.0,0.5818,17360.8021,9363.6885,122.968,32.823,15.45,328.103,38.861,1000
no_adaptation,10,10.0,0.4692,18482.7109,10726.383,120.692,31.577,15.862,342.387,38.703,1000
no_adaptation,10,12.0,0.3722,19922.6183,12116.0703,119.557,31.59,16.059,353.096,38.059,1000
no_adaptation,10,16.0,0.259,23756.429,15318.5952,120.245,31.47,16.235,366.453,36.828,1000
no_adaptation,20,0.0,0.9049,16053.1529,6293.5412,132.571,37.234,23.166,445.004,59.605,1000
no_adaptation,20,1.0,0.902,15938.3603,6404.982,132.121,37.183,23.404,450.445,60.428,1000
no_adaptation,20,2.0,0.8888,15903.0673,6627.1918,130.957,36.974,23.611,456.008,61.721,1000
no_adaptation,20,3.0,0.878,15947.2739,6891.811,129.287,35.898,24.087,467.007,63.404,1000
no_adaptation,20,4.0,0.8582,16070.9803,7331.0889,126.916,34.991,24.677,481.796,67.017,1000
no_adaptation,20,6.0,0.7876,16556.8919,8290.5937,124.823,33.432,25.584,509.151,69.737,1000
no_adaptation,20,8.0,0.7019,17360.8021,9363.6885,122.968,32.823,26.61,538.914,72.355,1000
no_adaptation,20,10.0,0.5865,18482.7109,10726.383,120.692,31.577,27.371,567.176,73.419,1000
no_adaptation,20,12.0,0.4848,19922.6183,12116.0703,119.557,31.59,27.53,584.668,72.893,1000
no_adaptation,20,16.0,0.3708,23756.429,15318.5952,120.245,31.47,28.076,616.119,72.201,1000
no_adaptation,50,0.0,0.9571,16053.1529,6293.5412,132.571,37.234,52.513,912.816,110.267,1000
no_adaptation,50,1.0,0.9562,15938.3603,6404.982,132.121,37.183,52.776,919.575,112.6,1000
no_adaptation,50,2.0,0.95,15903.0673,6627.1918,130.957,36.974,53.08,927.064,115.876,1000
no_adaptation,50,3.0,0.9444,15947.2739,6891.811,129.287,35.898,53.689,942.626,120.494,1000
no_adaptation,50,4.0,0.932,16070.9803,7331.0889,126.916,34.991,54.354,962.604,127.523,1000
no_adaptation,50,6.0,0.8868,16556.8919,8290.5937,124.823,33.432,55.808,1013.241,138.42,1000
no_adaptation,50,8.0,0.8229,17360.8021,9363.6885,122.968,32.823,57.156,1063.051,147.333,1000
no_adaptation,50,10.0,0.7336,18482.7109,10726.383,120.692,31.577,59.094,1131.458,157.304,1000
no_adaptation,50,12.0,0.6397,19922.6183,12116.0703,119.557,31.59,59.24,1174.236,160.061,1000
no_adaptation,50,16.0,0.5239,23756.429,15318.5952,120.245,31.47,59.327,1232.408,162.264,1000
no_adaptation,100,0.0,0.9777,16053.1529,6293.5412,132.571,37.234,102.149,1614.58,181.154,1000
no_adaptation,100,1.0,0.9744,15938.3603,6404.982,132.121,37.183,102.216,1619.605,184.324,1000
no_adaptation,100,2.0,0.9711,15903.0673,6627.1918,130.957,36.974,102.664,1632.555,188.884,1000
