update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 7829.74 > 7828.16,172,172,20,7829.740698242187,7828.1602551269525,10
2,bl_entry 8117.44 > 7828.16,36,208,40,8117.441657104492,7828.1602551269525,10
3,bl_entry 8253.03 > 7828.16,38,246,50,8253.034981689452,7828.1602551269525,10
4,bl_entry 8016.07 > 7828.16,40,286,50,8016.071673583984,7828.1602551269525,10
5,bl_entry 7830.99 > 7828.16,138,424,50,7830.988594360351,7828.1602551269525,10
6,bl_entry 7848.58 > 7828.16,40,464,50,7848.576005249023,7828.1602551269525,10
7,bl_entry 7918.27 > 7828.16,35,499,50,7918.267529296875,7828.1602551269525,10
8,bl_entry 7891.17 > 7828.16,29,528,50,7891.165896606445,7828.1602551269525,10
9,bl_entry 7851.96 > 7828.16,51,579,50,7851.964407348632,7828.1602551269525,10
10,bl_entry 8117.26 > 7828.16,14,593,50,8117.263325195312,7828.1602551269525,10
11,bl_entry 8057.02 > 7828.16,8,601,50,8057.022971191406,7828.1602551269525,10
12,bl_entry 8021.49 > 7828.16,16,617,50,8021.488225097656,7828.1602551269525,10
13,bl_entry 8111.08 > 7828.16,36,653,50,8111.081623535156,7828.1602551269525,10
14,bl_entry 8192.30 > 7828.16,32,685,50,8192.301072998047,7828.1602551269525,10
15,bl_entry 8269.50 > 7828.16,24,709,50,8269.495673828125,7828.1602551269525,10
16,bl_entry 8160.30 > 7828.16,14,723,50,8160.299537353516,7828.1602551269525,10
17,bl_entry 8162.05 > 7828.16,6,729,50,8162.048704833985,7828.1602551269525,10
18,bl_entry 8319.45 > 7828.16,6,735,50,8319.453813476563,7828.1602551269525,10
19,bl_entry 8505.85 > 7828.16,7,742,50,8505.849792480469,7828.1602551269525,10
20,bl_entry 8529.37 > 7828.16,13,755,50,8529.370697021484,7828.1602551269525,10
21,bl_entry 8638.62 > 7828.16,10,765,50,8638.616270751952,7828.1602551269525,10
22,bl_entry 8403.74 > 7828.16,13,778,50,8403.735236816407,7828.1602551269525,10
23,bl_entry 8440.32 > 7828.16,25,803,50,8440.316160888671,7828.1602551269525,10
24,bl_entry 8484.93 > 7828.16,27,830,50,8484.926990966796,7828.1602551269525,10
25,bl_entry 8349.05 > 7828.16,19,849,50,8349.050181884766,7828.1602551269525,10
26,bl_entry 8377.13 > 7828.16,12,861,50,8377.132177734375,7828.1602551269525,10
27,bl_entry 8450.99 > 7828.16,12,873,50,8450.994675292968,7828.1602551269525,10
28,bl_entry 8743.11 > 7828.16,8,881,50,8743.113588867187,7828.1602551269525,10
29,bl_entry 8984.27 > 7828.16,9,890,50,8984.2671484375,7828.1602551269525,10
30,bl_entry 9373.43 > 7828.16,5,895,50,9373.430697021484,7828.1602551269525,10
31,bl_entry 9600.18 > 7828.16,12,907,50,9600.18262084961,7828.1602551269525,10
32,bl_entry 9580.25 > 7828.16,12,919,50,9580.247564697265,7828.1602551269525,10
33,bl_entry 9667.84 > 7828.16,7,926,50,9667.835887451172,7828.1602551269525,10
34,bl_entry 9637.10 > 7828.16,8,934,50,9637.104079589844,7828.1602551269525,10
35,bl_entry 9496.75 > 7828.16,6,940,50,9496.754958496094,7828.1602551269525,10
36,bl_entry 9526.87 > 7828.16,8,948,50,9526.87224609375,7828.1602551269525,10
37,bl_entry 9550.19 > 7828.16,8,956,50,9550.193146972657,7828.1602551269525,10
38,bl_entry 9521.07 > 7828.16,8,964,50,9521.065444335938,7828.1602551269525,10
