strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8381,15684.2597,6452.2044,132.277,35.607,13.483,272.717,37.451,1000
no_adaptation,10,1.0,0.8231,15616.3399,6594.8789,130.728,35.095,13.574,276.036,38.004,1000
no_adaptation,10,2.0,0.8087,15627.9197,6736.9557,129.827,34.473,13.617,276.601,37.974,1000
no_adaptation,10,3.0,0.7894,15718.9991,7019.098,129.65,34.83,14.04,287.318,38.014,1000
no_adaptation,10,4.0,0.7636,15889.5783,7335.5906,129.198,34.867,14.325,295.507,38.252,1000
no_adaptation,10,6.0,0.6962,16469.2354,8341.9233,126.724,33.79,15.164,317.211,39.638,1000
no_adaptation,10,8.0,0.5875,17366.8913,9477.1223,123.785,33.27,15.744,335.038,40.454,1000
no_adaptation,10,10.0,0.4759,18582.5459,10741.3478,121.936,33.035,16.003,346.562,39.587,1000
no_adaptation,10,12.0,0.3812,20116.1987,12202.2934,119.73,33.336,16.408,360.701,39.664,1000
no_adaptation,10,16.0,0.2555,24137.5007,15601.3804,117.504,33.295,16.753,383.44,39.279,1000
no_adaptation,20,0.0,0.9101,15684.2597,6452.2044,132.277,35.607,23.395,447.412,61.303,1000
no_adaptation,20,1.0,0.9026,15616.3399,6594.8789,130.728,35.095,23.59,453.088,62.488,1000
no_adaptation,20,2.0,0.897,15627.9197,6736.9557,129.827,34.473,23.842,458.742,63.082,1000
no_adaptation,20,3.0,0.8797,15718.9991,7019.098,129.65,34.83,24.265,469.362,64.717,1000
no_adaptation,20,4.0,0.8531,15889.5783,7335.5906,129.198,34.867,24.412,476.675,65.792,1000
no_adaptation,20,6.0,0.7964,16469.2354,8341.9233,126.724,33.79,25.731,511.318,70.309,1000
no_adaptation,20,8.0,0.7055,17366.8913,9477.1223,123.785,33.27,26.596,539.805,74.166,1000
no_adaptation,20,10.0,0.605,18582.5459,10741.3478,121.936,33.035,27.499,569.032,75.575,1000
