shift,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
0.0,10,0.1202,747417.3168,597022.359,112.276,28.695,18.078,381.882,38.846,1000
0.0,20,0.2057,747417.3168,597022.359,112.276,28.695,31.579,653.125,78.31,1000
0.0,50,0.3458,747417.3168,597022.359,112.276,28.695,65.517,1311.296,180.914,1000
0.0,100,0.4726,747417.3168,597022.359,112.276,28.695,116.264,2257.96,325.33,1000
0.0,200,0.6103,747417.3168,597022.359,112.276,28.695,215.903,4048.199,573.008,1000
0.0,500,0.7726,747417.3168,597022.359,112.276,28.695,514.348,9123.804,1204.188,1000
58.59,10,0.1231,770420.4287,591496.7168,117.622,28.754,17.485,367.948,38.259,1000
58.59,20,0.2118,770420.4287,591496.7168,117.622,28.754,31.07,640.306,77.57,1000
58.59,50,0.3611,770420.4287,591496.7168,117.622,28.754,64.766,1293.289,179.977,1000
58.59,100,0.4922,770420.4287,591496.7168,117.622,28.754,116.412,2255.296,323.03,1000
58.59,200,0.6311,770420.4287,591496.7168,117.622,28.754,216.362,4046.628,569.612,1000
58.59,500,0.7893,770420.4287,591496.7168,117.622,28.754,515.191,9108.607,1196.433,1000
117.17,10,0.1477,804191.6031,590578.5791,123.262,29.88,17.89,382.442,39.287,1000
117.17,20,0.2412,804191.6031,590578.5791,123.262,29.88,30.694,642.333,78.429,1000
117.17,50,0.3996,804191.6031,590578.5791,123.262,29.88,63.729,1289.566,178.485,1000
117.17,100,0.5359,804191.6031,590578.5791,123.262,29.88,113.516,2229.497,318.134,1000
117.17,200,0.6666,804191.6031,590578.5791,123.262,29.88,212.015,4010.198,555.192,1000
117.17,500,0.8147,804191.6031,590578.5791,123.262,29.88,509.872,9059.66,1162.5,1000
175.76,10,0.1639,840947.9591,592843.8931,124.641,29.255,17.689,379.318,38.923,1000
175.76,20,0.2711,840947.9591,592843.8931,124.641,29.255,30.697,643.605,78.403,1000
175.76,50,0.4233,840947.9591,592843.8931,124.641,29.255,62.691,1274.336,178.546,1000
175.76,100,0.5533,840947.9591,592843.8931,124.641,29.255,112.05,2207.69,315.847,1000
175.76,200,0.6857,840947.9591,592843.8931,124.641,29.255,210.021,3986.329,547.849,1000
