shift,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
25.91,10,0.7017,291201.773,76996.766,131.584,36.123,14.176,283.241,34.609,1000
25.91,20,0.8229,291201.773,76996.766,131.584,36.123,23.762,450.834,62.068,1000
25.91,50,0.9327,291201.773,76996.766,131.584,36.123,52.778,911.049,121.938,1000
25.91,100,0.9714,291201.773,76996.766,131.584,36.123,102.179,1618.648,195.907,1000
25.91,200,0.9897,291201.773,76996.766,131.584,36.123,201.47,2889.809,317.337,1000
25.91,500,0.9971,291201.773,76996.766,131.584,36.123,501.02,6228.823,627.514,1000
47.9,10,0.6268,298397.88,87069.999,128.787,34.137,14.423,286.858,34.515,1000
47.9,20,0.7743,298397.88,87069.999,128.787,34.137,24.553,465.391,63.274,1000
47.9,50,0.9064,298397.88,87069.999,128.787,34.137,53.782,932.855,126.608,1000
47.9,100,0.9597,298397.88,87069.999,128.787,34.137,102.963,1638.248,206.12,1000
47.9,200,0.9848,298397.88,87069.999,128.787,34.137,202.208,2919.707,336.27,1000
47.9,500,0.9966,298397.88,87069.999,128.787,34.137,501.219,6285.66,661.378,1000
65.67,10,0.594,311141.087,97023.161,128.601,34.235,14.966,300.845,35.686,1000
65.67,20,0.7528,311141.087,97023.161,128.601,34.235,25.182,483.004,65.84,1000
65.67,50,0.9008,311141.087,97023.161,128.601,34.235,54.4,958.804,133.115,1000
65.67,100,0.9568,311141.087,97023.161,128.601,34.235,103.395,1677.542,216.213,1000
65.67,200,0.9822,311141.087,97023.161,128.601,34.235,202.506,2996.431,352.123,1000
65.67,500,0.9959,311141.087,97023.161,128.601,34.235,501.45,6469.891,693.656,1000
81.28,10,0.5659,320928.598,104164.782,127.691,33.864,15.032,300.795,35.851,1000
81.28,20,0.7216,320928.598,104164.782,127.691,33.864,25.326,485.867,66.485,1000
81.28,50,0.8698,320928.598,104164.782,127.691,33.864,54.426,963.056,135.107,1000
81.28,100,0.9348,320928.598,104164.782,127.691,33.864,103.618,1697.753,220.595,1000
81.28,200,0.9734,320928.598,104164.782,127.691,33.864,202.373,3038.598,360.863,1000
81.28,500,0.9921,320928.598,104164.782,127.691,33.864,501.331,6602.257,717.532,1000
95.76,10,0.5316,327172.32,112441.658,127.433,32.489,15.47,310.906,36.21,1000
95.76,20,0.6798,327172.32,112441.658,127.433,32.489,25.91,500.434,67.633,1000
95.76,50,0.8464,327172.32,112441.658,127.433,32.489,55.296,989.786,139.766,1000
95.76,100,0.9238,327172.32,112441.658,127.433,32.489,104.712,1741.233,230.945,1000
95.76,200,0.9663,327172.32,112441.658,127.433,32.489,203.763,3105.968,379.579,1000
95.76,500,0.9895,327172.32,112441.658,127.433,32.489,502.231,6698.257,752.929,1000
109.76,10,0.4975,335278.282,121456.523,127.003,33.822,15.583,310.765,36.115,1000
109.76,20,0.6432,335278.282,121456.523,127.003,33.822,26.085,500.158,67.569,1000
109.76,50,0.8117,335278.282,121456.523,127.003,33.822,55.766,993.925,140.677,1000
109.76,100,0.8979,335278.282,121456.523,127.003,33.822,105.106,1747.674,233.552,1000
109.76,200,0.9531,335278.282,121456.523,127.003,33.822,203.59,3125.136,387.413,1000
109.76,500,0.9839,335278.282,121456.523,127.003,33.822,501.867,6812.62,772.457,1000
123.87,10,0.4597,339609.086,127361.737,126.583,32.859,15.577,309.841,35.163,1000
