strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,0.0,10,0.8418,15899.7001,6273.8984,134.05,35.8025,13.44,275.885,36.645,800
no_adaptation,0.0,20,0.9054,15899.7001,6273.8984,134.05,35.8025,23.215,453.155,60.1712,800
no_adaptation,0.0,50,0.9595,15899.7001,6273.8984,134.05,35.8025,52.565,930.475,111.4262,800
no_adaptation,0.0,100,0.976,15899.7001,6273.8984,134.05,35.8025,101.8938,1645.475,182.38,800
no_adaptation,0.0,200,0.9876,15899.7001,6273.8984,134.05,35.8025,201.5875,2929.5,311.9125,800
no_adaptation,0.0,500,0.9945,15899.7001,6273.8984,134.05,35.8025,501.04,6236.2212,646.2625,800
no_adaptation,1.0,10,0.8258,16151.3517,6339.5747,134.6662,35.4838,13.4512,276.1462,36.4425,800
no_adaptation,1.0,20,0.8976,16151.3517,6339.5747,134.6662,35.4838,23.38,456.2388,60.5,800
no_adaptation,1.0,50,0.9555,16151.3517,6339.5747,134.6662,35.4838,52.8338,936.8362,112.7575,800
no_adaptation,1.0,100,0.9772,16151.3517,6339.5747,134.6662,35.4838,102.105,1650.425,184.0675,800
no_adaptation,1.0,200,0.988,16151.3517,6339.5747,134.6662,35.4838,201.8362,2938.0025,314.4438,800
no_adaptation,1.0,500,0.9945,16151.3517,6339.5747,134.6662,35.4838,501.295,6248.0513,651.02,800
no_adaptation,2.0,10,0.8172,16482.5029,6527.8758,134.7512,34.5037,13.7788,284.1775,37.3025,800
no_adaptation,2.0,20,0.887,16482.5029,6527.8758,134.7512,34.5037,23.5025,459.755,62.3188,800
no_adaptation,2.0,50,0.9493,16482.5029,6527.8758,134.7512,34.5037,52.995,942.7875,116.4762,800
no_adaptation,2.0,100,0.9741,16482.5029,6527.8758,134.7512,34.5037,102.5188,1660.7838,188.7538,800
no_adaptation,2.0,200,0.9865,16482.5029,6527.8758,134.7512,34.5037,201.9888,2949.39,319.61,800
no_adaptation,2.0,500,0.9952,16482.5029,6527.8758,134.7512,34.5037,501.715,6271.3988,658.1762,800
no_adaptation,3.0,10,0.8019,16893.1538,6754.8973,136.275,35.6838,13.955,288.2525,37.36,800
no_adaptation,3.0,20,0.8831,16893.1538,6754.8973,136.275,35.6838,23.86,467.7025,63.5275,800
no_adaptation,3.0,50,0.9418,16893.1538,6754.8973,136.275,35.6838,53.2275,950.02,119.4488,800
no_adaptation,3.0,100,0.9712,16893.1538,6754.8973,136.275,35.6838,102.8938,1674.0988,193.965,800
no_adaptation,3.0,200,0.9841,16893.1538,6754.8973,136.275,35.6838,202.4088,2969.1062,327.4688,800
no_adaptation,3.0,500,0.995,16893.1538,6754.8973,136.275,35.6838,502.615,6314.905,671.8838,800
no_adaptation,4.0,10,0.7808,17383.3043,7166.5443,135.775,35.0538,14.2075,293.73,38.3025,800
no_adaptation,4.0,20,0.8676,17383.3043,7166.5443,135.775,35.0538,24.32,479.1912,65.6138,800
no_adaptation,4.0,50,0.932,17383.3043,7166.5443,135.775,35.0538,53.7225,964.9662,124.64,800
no_adaptation,4.0,100,0.9646,17383.3043,7166.5443,135.775,35.0538,103.3588,1694.4425,202.8675,800
no_adaptation,4.0,200,0.9819,17383.3043,7166.5443,135.775,35.0538,203.2975,3001.3312,339.5925,800
no_adaptation,4.0,500,0.9932,17383.3043,7166.5443,135.775,35.0538,503.1638,6375.5838,690.6225,800
no_adaptation,6.0,10,0.6989,18602.1043,8344.6794,130.6988,33.43,15.2588,317.7125,41.0575,800
no_adaptation,6.0,20,0.8005,18602.1043,8344.6794,130.6988,33.43,25.8075,515.39,73.0412,800
no_adaptation,6.0,50,0.8934,18602.1043,8344.6794,130.6988,33.43,55.6038,1016.4775,142.705,800
no_adaptation,6.0,100,0.9436,18602.1043,8344.6794,130.6988,33.43,106.0975,1774.5325,231.5388,800
no_adaptation,6.0,200,0.9726,18602.1043,8344.6794,130.6988,33.43,206.0788,3107.18,380.295,800
no_adaptation,6.0,500,0.9876,18602.1043,8344.6794,130.6988,33.43,504.9488,6557.52,748.5963,800
no_adaptation,8.0,10,0.6081,20138.903,9491.2409,127.3912,32.7925,16.0588,341.3175,42.3338,800
no_adaptation,8.0,20,0.7145,20138.903,9491.2409,127.3912,32.7925,26.7238,543.6325,76.9025,800
no_adaptation,8.0,50,0.842,20138.903,9491.2409,127.3912,32.7925,57.7438,1078.5275,156.4875,800
no_adaptation,8.0,100,0.8956,20138.903,9491.2409,127.3912,32.7925,107.3138,1843.32,255.1212,800
no_adaptation,8.0,200,0.9471,20138.903,9491.2409,127.3912,32.7925,208.795,3252.075,418.2738,800
no_adaptation,8.0,500,0.9758,20138.903,9491.2409,127.3912,32.7925,509.8575,6846.2825,817.1025,800
no_adaptation,10.0,10,0.4915,21993.7002,10835.82,122.0388,31.3425,16.585,360.625,41.9512,800
