update_number,sigma,new_entry_point,window_mean,threshold
0,10.0,550495,10509.048022460938,9491.55632977295
0,12.0,550495,13218.193828125,9491.55632977295
0,16.0,550495,15044.821000976563,9491.55632977295
0,0.0,1876860,15370.279135742188,9491.55632977295
0,1.0,3076808,14708.894653320312,9491.55632977295
0,2.0,3076808,13724.475903320312,9491.55632977295
0,3.0,4032776,13622.059018554688,9491.55632977295
0,4.0,2874691,13433.264677734374,9491.55632977295
0,6.0,2874691,12888.305419921875,9491.55632977295
0,8.0,2874691,12794.74193359375,9491.55632977295
