update_number,sigma,new_entry_point,window_mean,threshold
0,8.0,2874691,9664.966612548827,9491.55632977295
0,10.0,550495,12111.716259765624,9491.55632977295
0,12.0,550495,13218.193828125,9491.55632977295
0,16.0,550495,15044.821000976563,9491.55632977295
0,0.0,1876860,15370.279135742188,9491.55632977295
0,1.0,3076808,13986.621999511719,9491.55632977295
0,2.0,3076808,15691.592387695313,9491.55632977295
0,3.0,4066499,15773.825808105468,9491.55632977295
0,4.0,2874691,16535.150048828124,9491.55632977295
0,6.0,2874691,10889.488828125,9491.55632977295
