strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,0.0,10,0.8492,16426.4087,6292.0899,138.165,34.6312,13.43,275.1125,36.445,800
no_adaptation,0.0,20,0.9096,16426.4087,6292.0899,138.165,34.6312,23.0375,448.32,59.4312,800
no_adaptation,0.0,50,0.9604,16426.4087,6292.0899,138.165,34.6312,52.26,923.6825,110.475,800
no_adaptation,0.0,100,0.9762,16426.4087,6292.0899,138.165,34.6312,101.675,1640.7175,180.7288,800
no_adaptation,0.0,200,0.9879,16426.4087,6292.0899,138.165,34.6312,201.4625,2926.6525,310.0312,800
no_adaptation,0.0,500,0.9946,16426.4087,6292.0899,138.165,34.6312,501.03,6235.4375,644.3,800
no_adaptation,1.0,10,0.8348,16650.206,6377.3631,138.1962,34.4875,13.62,279.3712,36.87,800
no_adaptation,1.0,20,0.9006,16650.206,6377.3631,138.1962,34.4875,23.3337,454.5088,60.77,800
no_adaptation,1.0,50,0.9562,16650.206,6377.3631,138.1962,34.4875,52.5962,931.6912,113.2888,800
no_adaptation,1.0,100,0.9765,16650.206,6377.3631,138.1962,34.4875,101.9775,1647.7525,184.425,800
no_adaptation,1.0,200,0.9882,16650.206,6377.3631,138.1962,34.4875,201.74,2935.6088,313.995,800
no_adaptation,1.0,500,0.9948,16650.206,6377.3631,138.1962,34.4875,501.3312,6248.5875,649.9812,800
no_adaptation,2.0,10,0.8258,16953.5028,6529.3889,137.5325,34.5538,13.7888,283.2862,37.1175,800
no_adaptation,2.0,20,0.8936,16953.5028,6529.3889,137.5325,34.5538,23.485,458.7425,61.8088,800
no_adaptation,2.0,50,0.9549,16953.5028,6529.3889,137.5325,34.5538,52.8938,939.285,115.9238,800
no_adaptation,2.0,100,0.9758,16953.5028,6529.3889,137.5325,34.5538,102.335,1656.555,188.6025,800
no_adaptation,2.0,200,0.9881,16953.5028,6529.3889,137.5325,34.5538,201.815,2944.4988,319.21,800
no_adaptation,2.0,500,0.9954,16953.5028,6529.3889,137.5325,34.5538,501.2925,6264.5388,657.5112,800
no_adaptation,3.0,10,0.8006,17336.2993,6876.5809,136.0688,34.3888,14.0175,288.6362,37.8775,800
no_adaptation,3.0,20,0.8831,17336.2993,6876.5809,136.0688,34.3888,24.075,472.17,64.0312,800
no_adaptation,3.0,50,0.9455,17336.2993,6876.5809,136.0688,34.3888,53.56,956.6962,121.825,800
no_adaptation,3.0,100,0.9734,17336.2993,6876.5809,136.0688,34.3888,103.155,1678.6562,197.965,800
no_adaptation,3.0,200,0.9859,17336.2993,6876.5809,136.0688,34.3888,202.6038,2970.6312,331.2775,800
no_adaptation,3.0,500,0.9951,17336.2993,6876.5809,136.0688,34.3888,502.4612,6313.56,675.2912,800
