update_number,sigma,new_entry_point,window_mean,threshold
0,10.0,550495,10646.58790283203,9591.027806825638
0,12.0,550495,13218.193828125,9591.027806825638
0,16.0,550495,15044.821000976563,9591.027806825638
0,0.0,1876860,15370.279135742188,9591.027806825638
0,1.0,3076808,13986.621999511719,9591.027806825638
0,2.0,3076808,13724.475903320312,9591.027806825638
0,3.0,4032776,13622.059018554688,9591.027806825638
0,4.0,2874691,13433.264677734374,9591.027806825638
0,6.0,2874691,16133.400688476562,9591.027806825638
0,8.0,2874691,17003.344682617186,9591.027806825638
