update_number,sigma,new_entry_point,window_mean,threshold
0,10.0,550495,10759.32885986328,9591.027806825638
0,12.0,550495,12746.509223632813,9591.027806825638
0,16.0,550495,14889.945952148437,9591.027806825638
0,0.0,1876860,9902.583221435547,9591.027806825638
0,1.0,3076808,9908.509278049469,9591.027806825638
0,2.0,3076808,9948.927869186402,9591.027806825638
0,3.0,4032776,10258.742700500488,9591.027806825638
0,4.0,2874691,10385.929721679688,9591.027806825638
0,6.0,2874691,10898.028081054688,9591.027806825638
0,8.0,2874691,11358.45015625,9591.027806825638
