shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
0.0,10,0.7852,16205.2509,7528.5593,110.593,36.014,13.339,256.908,34.191,1000
0.0,20,0.8878,16205.2509,7528.5593,110.593,36.014,22.832,407.445,58.339,1000
0.0,50,0.9575,16205.2509,7528.5593,110.593,36.014,51.949,803.345,108.529,1000
0.0,100,0.9868,16205.2509,7528.5593,110.593,36.014,101.379,1385.491,169.252,1000
0.0,200,0.9953,16205.2509,7528.5593,110.593,36.014,201.147,2410.12,270.509,1000
0.0,500,0.9989,16205.2509,7528.5593,110.593,36.014,500.838,5022.125,531.127,1000
1.0,10,0.7701,16223.1817,7593.3837,110.593,36.315,13.358,257.78,34.203,1000
1.0,20,0.8753,16223.1817,7593.3837,110.593,36.315,22.89,408.653,58.818,1000
1.0,50,0.9559,16223.1817,7593.3837,110.593,36.315,52.278,810.686,109.74,1000
1.0,100,0.9851,16223.1817,7593.3837,110.593,36.315,101.795,1394.752,171.797,1000
1.0,200,0.9927,16223.1817,7593.3837,110.593,36.315,201.356,2420.619,274.071,1000
1.0,500,0.9988,16223.1817,7593.3837,110.593,36.315,501.228,5041.069,537.104,1000
2.0,10,0.756,16320.6122,7762.3077,109.829,36.526,13.55,263.031,34.525,1000
2.0,20,0.8689,16320.6122,7762.3077,109.829,36.526,23.361,420.318,59.99,1000
2.0,50,0.9504,16320.6122,7762.3077,109.829,36.526,52.659,823.778,112.79,1000
2.0,100,0.9786,16320.6122,7762.3077,109.829,36.526,102.107,1409.957,176.373,1000
2.0,200,0.9922,16320.6122,7762.3077,109.829,36.526,202.306,2448.465,282.175,1000
2.0,500,0.9987,16320.6122,7762.3077,109.829,36.526,502.394,5086.867,550.845,1000
3.0,10,0.7367,16497.5423,8068.3938,109.156,36.958,13.782,268.589,35.206,1000
3.0,20,0.8519,16497.5423,8068.3938,109.156,36.958,23.678,428.315,61.898,1000
3.0,50,0.9431,16497.5423,8068.3938,109.156,36.958,53.046,834.572,117.203,1000
3.0,100,0.9733,16497.5423,8068.3938,109.156,36.958,102.616,1425.063,183.299,1000
3.0,200,0.9881,16497.5423,8068.3938,109.156,36.958,202.692,2469.811,291.164,1000
3.0,500,0.9964,16497.5423,8068.3938,109.156,36.958,503.024,5135.249,563.071,1000
4.0,10,0.7116,16753.972,8405.0076,107.831,35.702,13.989,274.903,35.558,1000
4.0,20,0.8323,16753.972,8405.0076,107.831,35.702,24.074,439.342,63.059,1000
4.0,50,0.9347,16753.972,8405.0076,107.831,35.702,53.734,853.227,121.686,1000
4.0,100,0.9655,16753.972,8405.0076,107.831,35.702,103.238,1447.736,190.984,1000
4.0,200,0.9839,16753.972,8405.0076,107.831,35.702,203.475,2505.662,303.118,1000
4.0,500,0.9942,16753.972,8405.0076,107.831,35.702,503.914,5204.497,583.144,1000
6.0,10,0.6521,17505.3306,9373.3367,104.476,35.153,14.613,290.849,36.859,1000
6.0,20,0.7913,17505.3306,9373.3367,104.476,35.153,24.952,463.065,67.042,1000
6.0,50,0.9012,17505.3306,9373.3367,104.476,35.153,55.028,895.727,131.773,1000
6.0,100,0.9445,17505.3306,9373.3367,104.476,35.153,105.165,1514.244,208.949,1000
6.0,200,0.9681,17505.3306,9373.3367,104.476,35.153,205.285,2606.629,330.399,1000
6.0,500,0.9879,17505.3306,9373.3367,104.476,35.153,507.429,5411.918,631.255,1000
8.0,10,0.5915,18574.6875,10422.5762,102.068,33.953,15.349,310.471,37.818,1000
8.0,20,0.7227,18574.6875,10422.5762,102.068,33.953,25.681,487.202,69.34,1000
8.0,50,0.8519,18574.6875,10422.5762,102.068,33.953,55.938,938.05,139.346,1000
8.0,100,0.9078,18574.6875,10422.5762,102.068,33.953,106.231,1587.387,223.965,1000
8.0,200,0.9457,18574.6875,10422.5762,102.068,33.953,207.258,2733.954,359.079,1000
8.0,500,0.9721,18574.6875,10422.5762,102.068,33.953,507.573,5650.245,684.231,1000
10.0,10,0.5256,19962.0433,11581.0713,99.848,33.258,15.646,321.457,37.519,1000
10.0,20,0.6603,19962.0433,11581.0713,99.848,33.258,26.313,509.381,70.109,1000
10.0,50,0.7882,19962.0433,11581.0713,99.848,33.258,56.074,969.396,143.318,1000
10.0,100,0.8662,19962.0433,11581.0713,99.848,33.258,107.188,1663.136,235.278,1000
10.0,200,0.9174,19962.0433,11581.0713,99.848,33.258,208.868,2872.835,382.677,1000
10.0,500,0.9514,19962.0433,11581.0713,99.848,33.258,510.087,5936.523,735.505,1000
12.0,10,0.4331,21667.3974,12871.5316,98.923,32.12,15.551,325.349,36.379,1000
12.0,20,0.5789,21667.3974,12871.5316,98.923,32.12,26.744,529.187,69.687,1000
12.0,50,0.7303,21667.3974,12871.5316,98.923,32.12,56.883,1015.927,147.275,1000
12.0,100,0.81,21667.3974,12871.5316,98.923,32.12,106.825,1728.602,244.597,1000
12.0,200,0.8715,21667.3974,12871.5316,98.923,32.12,207.909,3006.673,403.193,1000
12.0,500,0.9224,21667.3974,12871.5316,98.923,32.12,511.109,6269.659,784.249,1000
16.0,10,0.3657,26032.1018,15962.9226,98.465,31.674,15.102,322.556,34.299,1000
16.0,20,0.4985,26032.1018,15962.9226,98.465,31.674,25.932,532.203,65.734,1000
16.0,50,0.6595,26032.1018,15962.9226,98.465,31.674,55.791,1053.917,143.261,1000
16.0,100,0.7654,26032.1018,15962.9226,98.465,31.674,105.322,1827.663,247.032,1000
16.0,200,0.8449,26032.1018,15962.9226,98.465,31.674,205.644,3218.817,417.902,1000
16.0,500,0.898,26032.1018,15962.9226,98.465,31.674,505.472,6759.53,829.575,1000
