shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
0.0,10,0.8375,15820.0169,6298.1892,131.412,36.204,13.507,278.657,37.009,1000
0.0,20,0.902,15820.0169,6298.1892,131.412,36.204,23.289,456.872,60.72,1000
0.0,50,0.9594,15820.0169,6298.1892,131.412,36.204,52.536,934.66,112.613,1000
0.0,100,0.9776,15820.0169,6298.1892,131.412,36.204,101.872,1652.742,183.842,1000
0.0,200,0.9882,15820.0169,6298.1892,131.412,36.204,201.404,2940.498,311.395,1000
0.0,500,0.9949,15820.0169,6298.1892,131.412,36.204,500.939,6264.937,645.289,1000
1.0,10,0.8281,15832.9728,6372.627,131.124,35.951,13.515,278.501,36.894,1000
1.0,20,0.8956,15832.9728,6372.627,131.124,35.951,23.268,456.116,61.045,1000
1.0,50,0.9537,15832.9728,6372.627,131.124,35.951,52.601,936.842,113.39,1000
1.0,100,0.9759,15832.9728,6372.627,131.124,35.951,101.982,1655.817,184.837,1000
1.0,200,0.9883,15832.9728,6372.627,131.124,35.951,201.691,2948.708,314.202,1000
1.0,500,0.9948,15832.9728,6372.627,131.124,35.951,501.237,6276.918,649.706,1000
2.0,10,0.8111,15925.4283,6518.415,130.764,35.633,13.643,282.43,37.276,1000
2.0,20,0.8881,15925.4283,6518.415,130.764,35.633,23.566,462.935,62.317,1000
2.0,50,0.9507,15925.4283,6518.415,130.764,35.633,52.951,946.52,116.298,1000
2.0,100,0.9726,15925.4283,6518.415,130.764,35.633,102.263,1665.241,189.461,1000
2.0,200,0.9861,15925.4283,6518.415,130.764,35.633,201.787,2961.159,320.016,1000
2.0,500,0.9952,15925.4283,6518.415,130.764,35.633,501.697,6300.776,658.647,1000
3.0,10,0.7892,16097.3834,6696.7133,130.972,35.699,13.83,286.361,36.752,1000
3.0,20,0.8737,16097.3834,6696.7133,130.972,35.699,23.771,467.349,62.799,1000
3.0,50,0.9434,16097.3834,6696.7133,130.972,35.699,53.206,953.59,118.476,1000
3.0,100,0.9699,16097.3834,6696.7133,130.972,35.699,102.674,1677.262,193.005,1000
3.0,200,0.9847,16097.3834,6696.7133,130.972,35.699,202.245,2976.879,325.96,1000
3.0,500,0.9951,16097.3834,6696.7133,130.972,35.699,502.368,6339.45,669.153,1000
4.0,10,0.7734,16348.8383,7036.4556,130.53,35.028,14.093,292.685,36.959,1000
4.0,20,0.8617,16348.8383,7036.4556,130.53,35.028,24.073,475.724,64.084,1000
4.0,50,0.936,16348.8383,7036.4556,130.53,35.028,53.532,963.821,123.058,1000
4.0,100,0.9672,16348.8383,7036.4556,130.53,35.028,102.828,1689.076,199.75,1000
4.0,200,0.9815,16348.8383,7036.4556,130.53,35.028,202.247,2993.941,334.015,1000
4.0,500,0.9938,16348.8383,7036.4556,130.53,35.028,502.682,6389.404,681.439,1000
6.0,10,0.7134,17090.2468,7870.2235,129.957,34.362,14.567,303.704,37.254,1000
6.0,20,0.8162,17090.2468,7870.2235,129.957,34.362,24.832,494.759,65.847,1000
6.0,50,0.9025,17090.2468,7870.2235,129.957,34.362,54.36,990.896,129.567,1000
6.0,100,0.9476,17090.2468,7870.2235,129.957,34.362,104.207,1739.166,213.43,1000
6.0,200,0.9759,17090.2468,7870.2235,129.957,34.362,204.17,3073.345,357.875,1000
6.0,500,0.989,17090.2468,7870.2235,129.957,34.362,503.315,6537.291,720.886,1000
8.0,10,0.6409,18149.6541,8916.9926,129.943,34.774,14.822,312.452,37.329,1000
8.0,20,0.7502,18149.6541,8916.9926,129.943,34.774,25.31,510.058,67.756,1000
8.0,50,0.8623,18149.6541,8916.9926,129.943,34.774,55.046,1018.402,136.471,1000
8.0,100,0.9142,18149.6541,8916.9926,129.943,34.774,104.797,1783.968,225.906,1000
8.0,200,0.9521,18149.6541,8916.9926,129.943,34.774,204.798,3169.835,378.93,1000
