query_year,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
2007,10,0.8515,15323.4128,6766.6209,122.96,36.025,13.088,269.474,35.781,1000
2007,20,0.9169,15323.4128,6766.6209,122.96,36.025,22.988,442.741,59.239,1000
2007,50,0.9658,15323.4128,6766.6209,122.96,36.025,52.515,901.252,109.503,1000
2007,100,0.9806,15323.4128,6766.6209,122.96,36.025,102.039,1577.225,178.195,1000
2007,200,0.9906,15323.4128,6766.6209,122.96,36.025,201.71,2773.624,299.121,1000
2007,500,0.9968,15323.4128,6766.6209,122.96,36.025,501.285,5836.737,607.414,1000
2008,10,0.8691,15314.0574,7028.7293,123.375,36.273,13.426,271.132,37.357,1000
2008,20,0.9238,15314.0574,7028.7293,123.375,36.273,23.105,438.524,60.61,1000
2008,50,0.967,15314.0574,7028.7293,123.375,36.273,52.477,888.331,109.039,1000
2008,100,0.9842,15314.0574,7028.7293,123.375,36.273,102.042,1552.739,175.772,1000
2008,200,0.9914,15314.0574,7028.7293,123.375,36.273,201.643,2734.494,295.329,1000
2008,500,0.9965,15314.0574,7028.7293,123.375,36.273,501.151,5779.914,602.024,1000
2009,10,0.8696,15281.6188,6893.6071,122.938,36.826,13.131,257.183,36.054,1000
2009,20,0.9285,15281.6188,6893.6071,122.938,36.826,22.834,424.514,57.656,1000
2009,50,0.9705,15281.6188,6893.6071,122.938,36.826,52.169,876.196,104.879,1000
2009,100,0.9839,15281.6188,6893.6071,122.938,36.826,101.753,1548.94,172.606,1000
2009,200,0.9902,15281.6188,6893.6071,122.938,36.826,201.468,2736.807,292.959,1000
2009,500,0.9969,15281.6188,6893.6071,122.938,36.826,501.457,5806.879,603.255,1000
2010,10,0.6859,15372.0516,7052.4038,123.298,35.883,13.813,281.187,34.53,1000
2010,20,0.8078,15372.0516,7052.4038,123.298,35.883,23.504,449.661,61.091,1000
2010,50,0.9227,15372.0516,7052.4038,123.298,35.883,52.657,899.983,119.505,1000
2010,100,0.9653,15372.0516,7052.4038,123.298,35.883,101.91,1563.579,192.154,1000
2010,200,0.9866,15372.0516,7052.4038,123.298,35.883,201.475,2749.356,310.708,1000
2010,500,0.9961,15372.0516,7052.4038,123.298,35.883,501.002,5760.892,607.388,1000
2011,10,0.7026,15338.082,6949.5001,122.677,35.829,13.772,281.772,34.634,1000
2011,20,0.8225,15338.082,6949.5001,122.677,35.829,23.477,450.584,61.752,1000
2011,50,0.9257,15338.082,6949.5001,122.677,35.829,52.646,897.731,120.39,1000
2011,100,0.9657,15338.082,6949.5001,122.677,35.829,102.093,1562.083,191.947,1000
2011,200,0.9839,15338.082,6949.5001,122.677,35.829,201.484,2743.238,310.766,1000
2011,500,0.9952,15338.082,6949.5001,122.677,35.829,501.226,5779.93,609.421,1000
2012,10,0.7061,15232.1259,6850.6442,123.952,36.032,13.689,276.805,34.12,1000
2012,20,0.8262,15232.1259,6850.6442,123.952,36.032,23.334,443.174,60.276,1000
2012,50,0.9256,15232.1259,6850.6442,123.952,36.032,52.505,885.481,117.339,1000
2012,100,0.9664,15232.1259,6850.6442,123.952,36.032,101.96,1545.337,188.635,1000
2012,200,0.9868,15232.1259,6850.6442,123.952,36.032,201.602,2725.653,306.993,1000
2012,500,0.9955,15232.1259,6850.6442,123.952,36.032,501.002,5747.861,604.361,1000
2013,10,0.6894,15317.3033,6837.1265,123.731,35.449,13.805,281.632,34.332,1000
2013,20,0.8143,15317.3033,6837.1265,123.731,35.449,23.564,451.399,61.362,1000
2013,50,0.9199,15317.3033,6837.1265,123.731,35.449,52.607,896.055,119.408,1000
2013,100,0.964,15317.3033,6837.1265,123.731,35.449,101.816,1559.466,191.613,1000
2013,200,0.9875,15317.3033,6837.1265,123.731,35.449,201.414,2737.544,311.125,1000
2013,500,0.9959,15317.3033,6837.1265,123.731,35.449,500.964,5736.982,609.666,1000
