query_year,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
2007,10,0.894,15919.7907,7147.7693,113.992,35.986,12.575,242.882,33.889,1000
2007,20,0.9467,15919.7907,7147.7693,113.992,35.986,22.247,399.184,53.932,1000
2007,50,0.9796,15919.7907,7147.7693,113.992,35.986,51.657,818.434,96.434,1000
2007,100,0.9914,15919.7907,7147.7693,113.992,35.986,101.315,1432.484,156.741,1000
2007,200,0.996,15919.7907,7147.7693,113.992,35.986,201.033,2505.921,265.048,1000
2007,500,0.9987,15919.7907,7147.7693,113.992,35.986,500.743,5261.438,545.74,1000
2008,10,0.7477,15814.7638,7650.97,115.004,37.22,13.39,259.862,33.383,1000
2008,20,0.858,15814.7638,7650.97,115.004,37.22,23.034,415.927,58.082,1000
2008,50,0.942,15814.7638,7650.97,115.004,37.22,52.066,824.624,111.012,1000
2008,100,0.9779,15814.7638,7650.97,115.004,37.22,101.579,1433.626,176.476,1000
2008,200,0.9896,15814.7638,7650.97,115.004,37.22,201.304,2516.479,283.398,1000
2008,500,0.9967,15814.7638,7650.97,115.004,37.22,500.877,5294.905,559.558,1000
2009,10,0.7354,15845.1518,7501.7678,113.39,35.695,13.224,258.745,33.035,1000
2009,20,0.8493,15845.1518,7501.7678,113.39,35.695,22.816,414.666,57.705,1000
2009,50,0.9444,15845.1518,7501.7678,113.39,35.695,52.103,830.786,111.344,1000
2009,100,0.9781,15845.1518,7501.7678,113.39,35.695,101.506,1443.729,176.904,1000
2009,200,0.9913,15845.1518,7501.7678,113.39,35.695,201.041,2525.744,285.099,1000
2009,500,0.9982,15845.1518,7501.7678,113.39,35.695,500.976,5297.229,560.362,1000
2010,10,0.7483,15848.3005,7452.1405,111.279,35.424,13.237,259.282,32.538,1000
2010,20,0.8645,15848.3005,7452.1405,111.279,35.424,22.977,417.585,57.479,1000
2010,50,0.9481,15848.3005,7452.1405,111.279,35.424,51.986,827.85,110.739,1000
2010,100,0.9803,15848.3005,7452.1405,111.279,35.424,101.53,1436.469,175.733,1000
2010,200,0.9936,15848.3005,7452.1405,111.279,35.424,201.076,2498.1,282.391,1000
2010,500,0.9979,15848.3005,7452.1405,111.279,35.424,500.733,5207.955,551.255,1000
2011,10,0.7443,15814.5075,7377.0294,113.236,36.783,13.266,259.724,33.041,1000
2011,20,0.8574,15814.5075,7377.0294,113.236,36.783,22.955,417.355,57.618,1000
2011,50,0.9466,15814.5075,7377.0294,113.236,36.783,52.07,827.898,110.524,1000
2011,100,0.9791,15814.5075,7377.0294,113.236,36.783,101.485,1439.311,175.936,1000
2011,200,0.9939,15814.5075,7377.0294,113.236,36.783,201.026,2512.174,283.977,1000
2011,500,0.9985,15814.5075,7377.0294,113.236,36.783,500.695,5242.451,555.478,1000
2012,10,0.7547,15831.1202,7330.3616,114.671,36.516,13.174,255.463,32.225,1000
2012,20,0.8569,15831.1202,7330.3616,114.671,36.516,22.811,411.068,56.434,1000
2012,50,0.9475,15831.1202,7330.3616,114.671,36.516,51.922,821.791,108.01,1000
2012,100,0.9808,15831.1202,7330.3616,114.671,36.516,101.398,1430.669,171.818,1000
2012,200,0.9923,15831.1202,7330.3616,114.671,36.516,200.915,2506.031,279.739,1000
2012,500,0.9982,15831.1202,7330.3616,114.671,36.516,500.549,5241.066,552.533,1000
2013,10,0.746,15785.3478,7373.9632,112.944,35.479,13.442,260.917,33.233,1000
2013,20,0.8504,15785.3478,7373.9632,112.944,35.479,22.896,412.926,57.947,1000
2013,50,0.9462,15785.3478,7373.9632,112.944,35.479,52.112,824.484,110.869,1000
2013,100,0.9791,15785.3478,7373.9632,112.944,35.479,101.619,1428.638,175.931,1000
2013,200,0.9918,15785.3478,7373.9632,112.944,35.479,201.261,2492.669,282.623,1000
2013,500,0.9983,15785.3478,7373.9632,112.944,35.479,500.789,5194.166,553.463,1000
